"","Year","Host City","Rank","Time","Lane","Athlete","Nation","Reaction","Notes","Heat","Etc.","Host Country","Var.8","Var.6","Time..a.","Time..hand."
"1",2016,"Rio de Janeiro","1",10.13,3,"Kemarley Brown","Bahrain","0.146","Q","1",NA,"Brazil",NA,NA,NA,NA
"2",2016,"Rio de Janeiro","2",10.13,5,"Chijindu Ujah","Great Britain","0.150","Q","1",NA,"Brazil",NA,NA,NA,NA
"3",2016,"Rio de Janeiro","3",10.16,7,"Marvin Bracy","United States","0.155","q","1",NA,"Brazil",NA,NA,NA,NA
"4",2016,"Rio de Janeiro","4",10.26,2,"Seye Ogunlewe","Nigeria","0.139","","1",NA,"Brazil",NA,NA,NA,NA
"5",2016,"Rio de Janeiro","5",10.28,1,"Femi Ogunode","Qatar","0.170","","1",NA,"Brazil",NA,NA,NA,NA
"6",2016,"Rio de Janeiro","6",10.43,8,"Sean Safo-Antwi","Ghana","0.145","","1",NA,"Brazil",NA,NA,NA,NA
"7",2016,"Rio de Janeiro","7",10.47,9,"Reza Ghasemi","Iran","0.150","","1",NA,"Brazil",NA,NA,NA,NA
"8",2016,"Rio de Janeiro","8",10.53,6,"Adrian Griffith","Bahamas","0.143","","1",NA,"Brazil",NA,NA,NA,NA
"9",2016,"Rio de Janeiro","9",10.95,4,"Mohamed Fakhri Ismail","Brunei","0.151","","1",NA,"Brazil",NA,NA,NA,NA
"10",2016,"Rio de Janeiro","1",10.01,8,"Justin Gatlin","United States","0.160","Q","2",NA,"Brazil",NA,NA,NA,NA
"11",2016,"Rio de Janeiro","2",10.2,7,"Daniel Bailey","Antigua and Barbuda","0.153","Q","2",NA,"Brazil",NA,NA,NA,NA
"12",2016,"Rio de Janeiro","3",10.23,1,"Rondel Sorrillo","Trinidad and Tobago","0.112","","2",NA,"Brazil",NA,NA,NA,NA
"13",2016,"Rio de Janeiro","4",10.27,5,"Gerald Phiri","Zambia","0.146","","2",NA,"Brazil",NA,NA,NA,NA
"14",2016,"Rio de Janeiro","5",10.29,9,"Lucas Jakubczyk","Germany","0.166","","2",NA,"Brazil",NA,NA,NA,NA
"15",2016,"Rio de Janeiro","6",10.37,6,"Ogho-Oghene Egwero","Nigeria","0.151","","2",NA,"Brazil",NA,NA,NA,NA
"16",2016,"Rio de Janeiro","7",10.37,3,"Wilfried Koffi Hua","Ivory Coast","0.166","","2",NA,"Brazil",NA,NA,NA,NA
"17",2016,"Rio de Janeiro","8",10.64,2,"Rodman Teltull","Palau","0.133","","2",NA,"Brazil",NA,NA,NA,NA
"18",2016,"Rio de Janeiro","9",10.71,4,"Riste Pandev","Macedonia","0.163","SB","2",NA,"Brazil",NA,NA,NA,NA
"19",2016,"Rio de Janeiro","1",10.08,5,"Xie Zhenye","China","0.143","Q, PB","3",NA,"Brazil",NA,NA,NA,NA
"20",2016,"Rio de Janeiro","2",10.13,3,"Nickel Ashmeade","Jamaica","0.132","Q","3",NA,"Brazil",NA,NA,NA,NA
