"","Year","Month","COUNTY","Total.Sales"
"1","2022","December","Multnomah",21981259.39
"2","2021","December","Multnomah",21616370
"3","2019","December","Multnomah",19615336.71
"4","2018","December","Multnomah",19574585.5
"5","2020","December","Multnomah",19028446.08
"6","2017","December","Multnomah",18450330.28
"7","2022","November","Multnomah",17368666.35
"8","2022","August","Multnomah",17248650.82
"9","2021","July","Multnomah",17164365.36
"10","2022","July","Multnomah",17114950.56
"11","2022","June","Multnomah",17001498.76
"12","2022","October","Multnomah",16851709.97
"13","2022","September","Multnomah",16845999.84
"14","2021","November","Multnomah",16806561.13
"15","2021","October","Multnomah",16662004.51
"16","2022","March","Multnomah",16540829.33
"17","2022","April","Multnomah",16424788.04
"18","2022","May","Multnomah",16376007.63
"19","2020","March","Multnomah",16232700.87
"20","2021","August","Multnomah",16095641.71
"21","2019","November","Multnomah",15942138.83
"22","2019","August","Multnomah",15760565.14
"23","2021","June","Multnomah",15733730.6
"24","2021","May","Multnomah",15655941.39
"25","2021","September","Multnomah",15628605.72
"26","2020","October","Multnomah",15571467.34
"27","2019","October","Multnomah",15364331.12
"28","2021","April","Multnomah",15279078.98
"29","2019","July","Multnomah",15272329.62
"30","2018","November","Multnomah",15146596.87
"31","2021","March","Multnomah",15099728.91
"32","2018","August","Multnomah",15026336.26
"33","2019","May","Multnomah",15012761.47
"34","2020","July","Multnomah",14916820.91
"35","2019","March","Multnomah",14820212.71
"36","2019","June","Multnomah",14765527.77
"37","2020","May","Multnomah",14737881.69
"38","2022","February","Multnomah",14720137.59
"39","2018","March","Multnomah",14703128.28
"40","2020","August","Multnomah",14698969.94
"41","2018","July","Multnomah",14547497.93
"42","2018","October","Multnomah",14536980.37
"43","2020","November","Multnomah",14482176.41
"44","2018","May","Multnomah",14439199.92
"45","2017","August","Multnomah",14390946.51
"46","2020","February","Multnomah",14278972.69
"47","2018","June","Multnomah",14273436.91
"48","2019","April","Multnomah",14256044.96
"49","2017","March","Multnomah",14171030.06
"50","2019","September","Multnomah",14158812.32
"51","2017","November","Multnomah",14076448.6
"52","2020","September","Multnomah",14041860.79
"53","2017","July","Multnomah",13990225.27
"54","2017","June","Multnomah",13976319.8
"55","2017","October","Multnomah",13959719.95
"56","2022","December","Washington",13941855.85
"57","2020","June","Multnomah",13933405.78
"58","2017","May","Multnomah",13879201.15
"59","2020","April","Multnomah",13562783.58
"60","2020","January","Multnomah",13493250.33
"61","2017","September","Multnomah",13490239.39
"62","2022","January","Multnomah",13465383.8
"63","2018","September","Multnomah",13453368.45
"64","2018","April","Multnomah",13279313.3
"65","2019","February","Multnomah",13245905.2
"66","2021","December","Washington",13234534.17
"67","2017","April","Multnomah",13152082.55
"68","2021","February","Multnomah",12883346.16
"69","2019","January","Multnomah",12658075.03
"70","2018","February","Multnomah",12391184.65
"71","2021","January","Multnomah",12375836.11
"72","2018","January","Multnomah",12267346.95
"73","2017","February","Multnomah",12110232.46
"74","2020","December","Washington",12076723.88
"75","2019","December","Washington",10716714.39
"76","2018","December","Washington",10691774.1
"77","2017","December","Washington",9926153.98
"78","2022","November","Washington",9816728.22
"79","2022","July","Washington",9533991.57
"80","2021","November","Washington",9481539.14
"81","2021","July","Washington",9288448.89
"82","2021","December","Clackamas",9274318.11
"83","2022","December","Clackamas",9241245.74
"84","2022","June","Washington",9189202.65
"85","2021","October","Washington",9180002.84
"86","2022","August","Washington",9167942.12
"87","2022","October","Washington",9144177.69
"88","2022","April","Washington",9075462.9
"89","2022","September","Washington",9070939.55
"90","2020","October","Washington",9004634.28
"91","2020","March","Washington",8951895.14
"92","2022","May","Washington",8898631.35
"93","2020","May","Washington",8851686.71
"94","2021","May","Washington",8834080.04
"95","2022","March","Washington",8821236.99
"96","2020","December","Clackamas",8804662.03
"97","2021","June","Washington",8779040.6
"98","2020","July","Washington",8725353.81
"99","2021","April","Washington",8701547.5
"100","2021","August","Washington",8691234.8
"101","2020","November","Washington",8680850.05
"102","2021","March","Washington",8640699.58
"103","2020","August","Washington",8494248.65
"104","2021","September","Washington",8480314.43
"105","2020","June","Washington",8434365.32
"106","2019","November","Washington",8216451.64
"107","2020","September","Washington",8131681.95
"108","2020","April","Washington",8011949.89
"109","2022","February","Washington",7946993.99
"110","2018","November","Washington",7790023.1
"111","2021","February","Washington",7667776.67
"112","2019","October","Washington",7638790.39
"113","2019","December","Clackamas",7593791.22
"114","2019","August","Washington",7536553.49
"115","2022","January","Washington",7506772.01
"116","2018","December","Clackamas",7460720.2
"117","2019","July","Washington",7441891.82
"118","2019","May","Washington",7437769.42
"119","2021","January","Washington",7402205.68
"120","2022","December","Lane",7397506.73
"121","2021","December","Lane",7308857.39
"122","2019","June","Washington",7235965.83
"123","2019","March","Washington",7225580.75
"124","2018","August","Washington",7193265.81
"125","2018","June","Washington",7018728.68
"126","2017","December","Clackamas",7007815.45
"127","2018","July","Washington",6893666.25
"128","2020","February","Washington",6883126.34
"129","2022","December","Deschutes",6882677.52
"130","2017","November","Washington",6868946.67
"131","2019","April","Washington",6848627.14
"132","2018","March","Washington",6838563.36
"133","2018","May","Washington",6837681.3
"134","2018","October","Washington",6833201.9
"135","2019","September","Washington",6829918.24
